review,label,
"Aq turunin bintangnya...setelah diperbarui susah masuk ke aplikasinya. Begitu dah masuk trus pesen go food tiba2 aplikasi eror alhasil pesanan batal,padahal dah nunggu lama.",Aplikasi,
"Gak salah apa apa malah di blokir akun gopay aaya , dan sekarang gak bisa berbagi atau minta gopay kesesama . Alasannya ada aktifitas mecurigakan , emamgnya saya maling gopay ya ?? Saya aja minta gopay ke teman saya . Kalo gini malah menyusahkan , udah nomer di rahasiakan pula , menyusahkan kepada driver juga , kasihan jadi sering dan banyak order fiktif gara gara nomer dirahasiakan . Pertimbangkan lagi kebijakannya jek , jangan mau menang aja , kasihan mitra mu",Akun,
"barusan saya pesen makan psen 3 bungkus masa 1 yg di anter duit udah di kasih 60, adax yg ambil",Layanan Pelanggan,
Setelah di update semua tarif makin mahal bahkan kmren pesen gocar ditatif ga masuk akal banhet mahalnya padahal jaraknya ga jauh...,Layanan Pelanggan,
"Dan tiba-tiba saya kecewa saya top up pake gopay 2×, 1 masuk, 1 nya lagi tidak, dan saya benar benar kecewa kali anjinggg",Transaksi,
"Apaansi nih gojek gajelas,masa alamat rmh gamau muncul,munculnya daerah bekasi mulu,tolong diperbaiki...",Aplikasi,
"Beberapa kali kecewa dan sebel sm driver. Ada yg ngeyelan, ada yg bohong, ada yg membelikan pesanan tidak sesuai tanpa konfirmasi dulu, dll. tp karena kasian, sy tetap selalu kasih bintang 5 utk driver. Bisa Sy bilang, 90% para driver nya BURUK. coba di evaluasi lagi. Sebelum para pengguna gojek malas pake apk ini lg.",Layanan Pelanggan,
Kak kenapa kok nggak bisa buat transaksi padahal sandi nya betul lo aku udh beli saldo bayk kaga bisa buat ap² tulisanya kamu berulang kali memasukkan sandi yang salah Silakan coba beberapa saat lagi,Aplikasi,
Kenapa gojek jarak dekat lebih mahal daripada jarak jauh????,Layanan Pelanggan,
"3 dlu aja, tolong donk koq di aplikasi saya ga ada layanan go box",Layanan Pelanggan,
"Saya pernah dpt tlp dr operator yg mengaku dr go pay, semoat tergiur krn dijanjian mendapat gopay, trnyta penipu",Layanan Pelanggan,
Komplain tidak ditanggapi,Layanan Pelanggan,
"Upgrade gopay plus dipersulit, padahal sudah mengikuti semua petunjuk dan data asli yang diberikan sudah jelas dan benar.",Akun,
"Ko gak bisa masuk lewat akun facebook ya,, Ini karena ganti hp dan nomernya ilang jadi gak bisa buka, daftar baru juga gak bisa karena emailnya sama😭😭",Akun,
Kecewa banget berlangganan gofood ditulis jelas 30 voucher dpt 12rb + paket goplay dan syarat lain2. Tapi kenapa saat mau berlangganan tidak ditulis minimal belanja 65rb baru bsa dipake vouchernya Setalah saya berlangganan baru muncul min blnja 65rb voucher 12rb bsa dipake sama saja bohong tau gitu g langganan saya Kasih promo yang jujur dong.,Layanan Pelanggan,
"kalau ngasih harga ongkir ngawur banget, jarak cuma 1,2 km ongkirnya 13rb gila lebih mahal dr makanannya.",Layanan Pelanggan,
"Kenapa sekarang gopay sudah tidak bisa di pake bersamaan dengan tunai ?. Metode pembayarannya , gopay sendiri tunai sendiri , suda tak gabung lagi ? Seperti sebelumnya jadi nyesal isi gopay sisa gopay 9 . 000 sudah tidak bisa di pakai harus isi lagi 🤦",Layanan Pelanggan,
"SAYA MEMBAYAR GORIDE PAKAI GOPAY KENAPA HARGA SAMA DENGAN SAYA BAYAR TUNAI, MOHON SEGERA DIPERBAIKI",Layanan Pelanggan,
tolong dong mass perbaikin lagi saya isi paket data ke indosat gk bisa huhh....,Transaksi,
"Percuma komplain dan komentar diaplikasi ini..aplikasi semakin buruk.. di komplain ga ada perubahan yg positif dan lebih baik.. ownernya sibuk jadi pejabat, ngurusin keuntungan sendiri",Layanan Pelanggan,
Gimana sih ini kan diminta upgrade?!..tapi gak bisa2 ..loading terus..mana mau bayar pay latter tuh kan gak bisa. Tar giliran gak bayar2 di teror deh gw padahal mau klik aja susahnya minta ampun. Kapok banget coba2. Tolong sistemnya balik ke dulu lagi aja. Jangan rakus bikin sistem yg ngejlimet cari untung tapi customer dan driver gak nyaman. Gojek ada karena mitra lho!,Aplikasi,
Voucher tiba tiba hilang anjeerrr benerin lah wo3ee,Layanan Pelanggan,
Kenapa klau hujan mau pesen gofood kok susah ndak ada driver yg online Di daerah genuk gebangsari semarang,Layanan Pelanggan,
Jangan terlalu sering di upgrade dong 🙏 Kalaupun mau upgrade juga upgrade nya yang langsung perubahan besar aja biar ga bolak balik terus upgrade apk gojek nya.,Layanan Pelanggan,
Pilihan paket voucher gofood tidak tersedia keterangan minimal order. Jadinya nyesel setelah beli pket termyata minimal pembelian 65rb potonga hanya 12rb,Layanan Pelanggan,
ini kenapa setelah di perbaharui malah gak bisa masuk akun gojeknya ya...😪😪😪,Aplikasi,
Aplikasi goblok gua mau mesen malah di tolak,Aplikasi,
"Tolong aplikasi gokil/Gobox ditampilkan diberanda utama,biar lebih gampang pesan Gobox nya, terimakasih",Aplikasi,
Km sdh dpt Email utk Verifikasi Daftar Gojek Driver dan tdk bs utk Verifikasi email bgmn? Km mohon bantuan Bpk/ibu. Terimakasih Atas bantuan Serta kerjasamanya. Dedet,Akun,
"Ongkir gofood nya mahal banget, nggak kayak yang warna ijo sebelah",Layanan Pelanggan,
Halo saya mau update gopay plus kok ga bisa ya. Katanya data saya sudah terpakai utk akun lain. Padahal saya ga perna punya akun gopay. Boleh minta tolong cara menghapus akun yg lama itu?,Akun,
Orderan fiktif tambah bersebaran karena nomor customer d acak,Layanan Pelanggan,
Token yang saya kumpulkan kenapa tiba2 hilang ya....padahal belum saya mainkan untuk menambah point saya...?? Tolong segera ditanggapi...,Layanan Pelanggan,
Bulan kmarin saya order gofood kfc diskon dari harga 110 mnjadi 70an... Saya menggunakan pmbayaran pay later salah nya saya tdk ngecek sisa saldo paylater lg... 3 hari berlalu saya cek paylater saya sudah terpotong110rb+admin bulanan 3rb total 113rb saya pikir terpotong 70an kan harus nya...,Transaksi,
"Gojek kau kini hancur, layananmu tak seindah dulu karena makin kaya makin kurang. Dulu aku bangga dgn aplikasi anak bangsa tapi kini aku prihatin, karena kau siksa para drivermu",Layanan Pelanggan,
Kenapa verifikasi akun lama hampir 3 hari blum di acc,Akun,
"Penagihan paylater gojek udh kaya hutang milyaran telp nya aja sehari 3 kali. Padahal ratusan ribu telat bayar. Kata nya karya anak bangsa,tapi begini cara kerja kalian",Layanan Pelanggan,
Aplikasi saya map nyatidak bisa selalu lokasi tidak ditemukan,Aplikasi,
Om admin. Masukan om. Bagi driver yg ga bisa ambil goshop gmna om. Aq pesen 5driver minta cancel. Jd akun aq kena suspend sementara. Mohon om di perbaiki. Mksh om,Akun,
min saya login fb tapi nomornya lupa+hilang apa ada cara buat atasinya?,Akun,
"#uninstal gojek , payah promo cuma sedikit aja sampai nomer saya kaga bisa buat pesan Pelayanan customer service sangat mengecewakan",Layanan Pelanggan,
"Dulu gw pengguna aktif bgt dgn aplikasi ini, tapi semakin kesini udh males gw gunain karena agak sedikit kecewa, beberapa fasilitas ngak bisa gw rasain, salah satunya paylater. Semua udh diupdate mulai dari aplikasi sampai data"" gw. Tapi sampai skrg masih belum jg ada kepastian kapan dapat diberikan fasilitas tsb, padahal beberapa platform teknologi terbesar sdh memberikan ke gw fasilitas paylater mereka & track record pembayaran gw pun sangat lancar (belum jatuh tempo udh gw bayar full payment)",Layanan Pelanggan,
Kasih vouchernya yg 10k-15k dong. Saya nggak pernah bisa make kalo yang 20k-30k karena uangnya tdk ada.,Layanan Pelanggan,
"Paylater saya tidak bisa digunakan, padahal sudah membayar tagihan jauh sebelum jatuh tempo.. Mohon untuk dikaji kembali..",Akun,
Mohon maaf kenapa sekarang kalo pesen gofood ga ada table terdekat promo dll ya?saya jadi susah nyari2 resto yg terdekat nya,Aplikasi,
driver mu kamu kasih apa dengan tarif 4000 di Semarang. main ke rumah ku sini wahai petinggi gojek. jancok,Layanan Pelanggan,
biaya Langganan paylater naik 2x lipat jadi 49.000 Gilaa.. Nyari untung nyekek banget.,Layanan Pelanggan,
Ongkir di gojek kok makin mahal aja ya padahal jaraknya dekat,Layanan Pelanggan,
"Topup sukses melalui one-click tapi saldo gopay tetep nol, dana ga masuk",Transaksi,
Makin di update gojek makin gak asik. Gak pernah ada promo. Poin juga sekarang masa nya di batasin. Terus makin mahal . ditambah harus pakai gopay kalau mau dapat poin. Payah sekarang gojek udah buruk banget pelayanan nya. Kecewa banget sumpah. Padahal saya kan cs gojek setia. Sekarang malah gak se asik dulu lagi.,Layanan Pelanggan,
Makin ribet aja lo jek... Mau aktifin aja kudu telpon dulu ke cs gojek.. Pantes aja lo selalu kalah dari sebelah.. Lo kudu nyontoh tuh sebelah lo.. Lebih mantap ga sulit dan gampang... Makin lama cepat atau lambat mati dengan sendirinya karna ulah sendiri..,Layanan Pelanggan,
Knapa jarak 2.5 km kok ongkirnya 40.000,Layanan Pelanggan,
"Cs tidak teliti dalam melakukan penarikan gopay yg berakibat salah isi gopay ke driver lain bkn ke driver yg bersangkutan, untuk cs harap teliti krn kasihan driver yg tidak menerima hak yg harusny dia terima. Sdh tlpn call center go jek malah disuruh hub driver yg go pay ny slh isi, hadeeeuhh bikin ribet. Tlg deh lain kali sbg cs kalo nanggepin bantuan dri costumer jgn sampai salah no orderan lg kasihan driver tsb! Jd saya ksh bintang 1 krn saya kecewa",Transaksi,
"Upgrade ke go pay plus g bisa2 sdh di email server gojek.udah di ulang2 sampai puluhan kali sesuai anjuran udh di log out dan masuk kembali daftar..ktp saya udh elektronik mmg disitu tertera mati 2017 tapi didisdukcapil mengatakan sudah berlaku seumur hidup,,gara2 ini g bisa transfer go pay ke rekening saya lumayan kan 2 juta di habis kan gitu aja...",Akun,
Please goride Surabaya kapan di aktifkan,Layanan Pelanggan,
"Saya menemukan bug di aplikasi gojek... Saya menggunakan oppo a33 (neo7) os 5.0.1 Aplikasi gojek bila akan melakukan order goride ataupun gocar layar akan blank bawarna putih dan kembali ke menu awal gojek, tetapi untuk order gofood normal. Tolong pihak gojek membenahi masalah ini, bila ini terus berlanjut akan ber efek pada driver goride ataupun gocar yang akan sangat sangat susah mendapatkan order. Bila ingin jelasnya saya bersedia membawa HP saya utk membutikan.",Aplikasi,
Kasihan mitramu yg kerja keras tp pulang ta bawa hasil..pernah sekali waktu naik gocar/gojek dan ngobrol2 sama driver sungguh miris argo yg mereka terima ternyata cuma 8800 tp saya harus bayar 15000 sangat besar sekali potongan yg di ambil gojek.. tak ad rasa manusiawi sama sekali.,Layanan Pelanggan,
"Gk tau ah, udah di update tetepaja permintaan penggunaan apps ditolak mulu",Aplikasi,
Sekarang kok sering error ya ga bisa klik bayar ke sesama gopay ..,Aplikasi,
Cukup lumayan pelayanan gojek terkadang ada yg kurang baik dlm mengendarai motor,Layanan Pelanggan,
cari driver drtd ga ada ada pada kemana emng drivermya,Layanan Pelanggan,
Apk eror gopay hilang nunggu dari jam 3- sekarang4.30 ga dateng2 ga bisa buat pesen lagi ga saur deh mohon perhatiannya,Aplikasi,
"Klo bisa untuk topup jngn cm bisa di alfa aja, di mini market yg lain jg harus bisa",Layanan Pelanggan,
"Sekarang pesen gofood ga ada 1km mahal banget ongkirnya. Asli kecewa deh, vouchernya jg",Layanan Pelanggan,
"Udah ya pak jangan update"" terus , hp saya gacukup pak :"" sampe harus hapus bbrp aplikasi . Tapi Terimakasi apk nya sangat membantu",Layanan Pelanggan,
"gojek aneh setiap pesan driver dapetnya yng jauh terus padahal penumpang itu butuh waktu bukan hanya butuh driver nya..setiap pake gojek selalu telat berangkat kerja ..tidak seperti dulu,, waktu adalah uang untuk apa dapat driver kalau waktu tersita telat mulu...maaf ini masukan yng sangat untuk di perbaiki🙏",Layanan Pelanggan,
Lumayan sih tapi driver nya judes,Layanan Pelanggan,
Kenapa aplikasi saya map nya gak bisa kedeteksi ?? Makin lama makin jelek aplikasinya ...,Aplikasi,
"Transaksi d minimarket Saldo terpotong🙄🙄,d riwayat penjualan gk ad🙈🙈🙈,jd bayar tunai 😞😞 Jd itu kan namanya c*****k😠😠😠",Transaksi,
Ini kenapa yahh saya ga ada pilihan buat kirim gpsen sameday? Cuma ada instan aja?,Layanan Pelanggan,
"hahahaa lucu upgrade gopay 2x ditolak padahal foto sudah pas dan padahal dulu juga sudah upgrade akun nomer yg 1nya ganti nomer karna nomor hangus. nomer NIK juga udah jelas wong saya juga pernah jadi karyawan di anak perusahaan ini kok bisa ditolak,hahahaa sory yaa jek tak turunin bintangnya # gopay parah parah handphone saya type lama kamera juga tidak bagus yaa maklum aja hasil foto buram.",Akun,
"Sistem gojek benar2 parah, sy dpt order dan sgra menjemput. Orangnya sy chat gak balas, sy tlp gak di angkat, rupanya kata tetangganya sdh naik grab. kmdn sama si penumpang orderanya dibatalin pdhl sy sdh nunggu lama. Dan performa sy jd turun, pdhl sy hk punya salah dan dosa apa2. Hbs itu orderan lama bgt masuknya, sampe mau tgh hari cm di ksh 5.",Layanan Pelanggan,
"Saya driver, dapat voucher 100rb untuk driver, mau ditukar kok sdh ilang vouchernya, padahal sampe 19april, terimakasih banyak gojek..",Layanan Pelanggan,
"Tolong diperbaiki bug mapsnya ya, suka tidak sama antara titik pelanggan, toko, driver dll.",Aplikasi,
Ngaco nih .. aku setting alamat rmh ko. Pas buka lagi aplikasi gojek alamat rmh beda sih.. padahal udah saya setting loh.,Aplikasi,
"Kenapa si akun saya ga bisa langganan gojek saya butuh nya itu, dikasih gofood terus. tolong di perbaiki dong tarif juga diperhitungkan jangan terlalu tinggi.",Layanan Pelanggan,
Gojek gila masak ongkirnya mahal banget mendingan grab,Layanan Pelanggan,
"Parah erorrrnya, pesan makanan dari jam 3 niatnya buat saur anak, makananya sampainya sudah insyak, makanya jadi ga kemakan,,,,",Layanan Pelanggan,
Semakin hari semakin pelit promo nya padahal promo bisa membatu para driver,Layanan Pelanggan,
Ente bisa besar sampai sekarang itu krn driver di jalanan pada giat menyelesaikan orderan.. tapi sekarang beginikah cara PT.Gojek Indonesia menghargai kami para driver dengan memberikan kami orderan 1 jam 1orderan bahkan bisa lebih baru bisa ada orderan??? Mau sampai kapan sistem ini berlaku??? Lama lama ente bisa kehilangan para driver..,Layanan Pelanggan,
tapi akun sy tidak bisa order kenapa gojek,Akun,
"Mohon maaf min, baru kali ini saya di buat kecewa gopay ketika saya ingin top up game, pas udah ke tekan game yg mau top up kok malah tiba2 masuk ke gobill? Tolong di perbaiki bug ini min dan saya tidak bisa top up ke game saya.. Thanks",Aplikasi,
"Kalau waktu hujan g pernah ada driver, dan kalau ngantar agak jauh mesti d cancel oleh driver,, tolong driver ny jangan pilih pilih order",Layanan Pelanggan,
"Percuma ngasih promo gofood tapi mahal ..semenjak ga di pegang pak nadin, gojek ancur... Semua masyarakat beralih ke grape , terus terang aja grape banyak promo murah buat goofood,. Tapi malah gojek ada promo goofod 15 ribu, tapi disuruh blanja makanan diatas 50 ribu, hadeh sama aja bohong ... Gojek kedepannya pasti ancur .. saya yakin bila terus kaya gini pasti hancur. Tolong dirubah lagi kaya dulu.. jangan begini terus. Ini saran saya dan kritikan saya",Layanan Pelanggan,
"gopay saya kenapa tiba"" kurang sendiri?? malem"" ada notif pembelian game , padahal saya tidak melakukan nya. Mohon penjelasan nya!!! soalnya sangat merugikan sekali !!",Transaksi,
"Tolong dong email saya dibalas ,karna tidak dpat mengatur kode otp nya😪",Aplikasi,
"tai bener, ongkirnya kaya ngerampok. ingat jngn make gofood harga udah up ongkir selangit. tolol lah ini namanya",Layanan Pelanggan,
"Beberapa kali ngobrol sama sopir Go Car.. Kalo order 2 kali dapetnya dia lagi maka bisa kena sanksi. Jadi di cancel drvr krn tkt Menurut saya aneh ya.Kalo gak ada driver lain dan nyangkut di dia gimana? Kalo bisa sistemnya diperbaiki lah.. Filternya logicnya di rubah donk. Klo yg cariin sistem ya jgn di kasih sanksi, yg rugi cust jg kan kalo di sekitar situ gak ada driver lain, terutama yg jarang drivernya Terlepas dari permainan atau apa, ya dipikirin lah logicnya, PR buat BA nya buat mikirin.",Layanan Pelanggan,
"Alamat d maps suka salah, jadi bikin telat, dan muter jauh bgt",Aplikasi,
"pelayanannya gimana sih, aplikasi bangsat gw udah top up tp upgradenya gk di respon, nunggu 24jam blom di konfirmasi..",Akun,
Kok makin banyak resto tutup ya? Atau fiktif ini? Tiap hari open tapi pas di order bilang tutup,Layanan Pelanggan,
saya udh unggah foto ktp gtu buat up grade ke gopay plus tpi ko proses nya lma bngt ya? Tolong proses scepatnya dong terimakasih,Akun,
Msukin pin.. Sy mo gnti no.. No itu sdh ga aktif.. Tai msukkin pin gopay.. Siapa jg yg suka pke gopaym. Ribet mo psen mkn jja anying ahh,Akun,
"Oyy cukk, gua mau nambahin metode pembayaran gopay di play store gagal mulu gara-gara aplikasi lu yg force close mulu. Cepet dibenerin lah, ga guna duit gua kesimpen di gopay tod",Aplikasi,
"Lgi susah malah playlater denda tiap hari,bukanya bantu2 meringankan driver. Mlah mengambil keuntungan dengan denda",Layanan Pelanggan,
Aplikasi ga guna Gua udah upgrade ke gopay plus malah ga bisa nerima saldo prakerja dengan keterangan nik berbeda why ?? Jangan di persulit lah Sudah jelas jelas nik sama kalo ga sama gabisa terhubung dong ? Sungguh miris,Akun,
Semoga ada penambahan opsi pembayaran paylater di awal bulan. Karena tidak semua org payroll nya tgl 25,Layanan Pelanggan,
katanya applikasi yg terbaik tapi tiba tiba harga ongkosnya naik 2x dari 4000 menjadi 9000 tolonglah di perbaikin harganya,Layanan Pelanggan,
"Enak banget ye lebaran kali ini, ongkos dekat gofood 13k yg didapet driver cuma 8k, itu 5k ga kegedean bos? Mau gantiin voucher sembako ye dah rugi banyak?",Layanan Pelanggan,
Lama bgt upgrade ke gopay plus...,Akun,
"Tidak bisa kirim ke sesama gopay, sudah Menanyakan tpi kenapa tidak di betulkan??",Layanan Pelanggan,
kok upgrade akun gopay lama di setujui nya padahal sudah 3-4hari brp hri sih disetujuinnya,Akun,
"Kritikan nih buat adminnya, disuruh bikin pin buat ngelindungin saldo gopay tapi ketika dibuat kode OTPnya gak masuk masuk lewat sms, sampai limit, aplikasi jadi tidak bisa digunakan, mohon yang bertugas mengirim kode OTP dapet salam dari saya, ""TOLOL kamu, kalo gak kompeten gausah kerja, ngemis aja dijalan""",Aplikasi,
"Kalau sistemnya rata begini apa bedanya yg rajin & enggak? Opang ini mah. Kerja lebih lama lagi & resiko kecelakaan pasti lebih tinggi. Kapan bonusnya kalau sejam sekali orderannya. Ini Jakarta, males2 ya ga dapet duit, kembalikan sistem sebelumnya prioritas!!!",Layanan Pelanggan,
Tolong tindak goresto yg berbuat curang. Terimah kasih,Layanan Pelanggan,
"driver tidak kompeten, mereka seenaknya membatalkan pesanan berulang kali",Layanan Pelanggan,
Apikasi bobrok... saya pengguna gojek goride... dan banyak driver yg mengeluhkan kinerja system yg sekarang... yg katanya 1 jam 1 orderan lah... yg katanya g adil lah... yg katanya ancur lah... Jujur saya sedih mendengar keluh kesahnya yg susah menafkahi keluarganya... Pesan saya... buatlah mereka senang dengan apa yg mereka inginkan... dengarkan dan wujudkan saran mereka... jangan mwnya enaknya ajha kalian...!!!,Layanan Pelanggan,
Aplikasi ini tidak bisa menerima masukan apa alasan terjadi pembatalan memesan gofood. Di daerah Rancaekek driver meminta untuk dibatalkan dengan alesan yang sesuai. Harap memiliki admin agar keluhan2 tidak berat sebelah. Sekarang saya kasih nilai bintang 1 karena akun saya jadi tidak aktif sementara,Akun,
Saya hanya mau nyampein soal voucher untuk GOFOODnya saya harap pihak dari gojek menambah atau menghadirkan misi misi untuk mendapatkan voucher GOFOOD sekian dari saya itu saja.Semoga bisa di tambahin fiturnya,Layanan Pelanggan,
Maaf kenapa GPS GO-CAR ngawur sampai para pengemudi bingung mencari alamat saya dan minta di cancel atau bingung mencari tempat yang dituju? Diharap gocar & GO-RIDE tingkatkan pelayanan dan ketepatan penjemputan serta kepercayasn konsumen @ tidak merugikan. Saya ibu Laksamana TNl (Purn) R. Subono/ibu Yossie,Aplikasi,
"mau top up saldo minta otp ga dikirim kirim , aplikasi apaan bikin malu aja. posisi mau top up udah ditungguin lama sama drivernya. tolong perbaiki!!!",Aplikasi,
Aplikasi paling bikin pusing.... Masa nunggu OTP untuk bikin pin harus nunggu ber minggu minggu.... Ga guna asli... Keburu kadaluarsa kali...,Aplikasi,
Akun saya tiba tiba gabisa pesen gofood permintaan ditolak dr gojeknya padahal ga pernah cancel pesenan,Akun,
Saya kecewa sering apded mulu. Kalo tidak di apded apk tidak bisa di buka. Tolong agar di permudah. Mending banyak promo huuu,Layanan Pelanggan,
Maps nya suka meleset. kan kasihan mas driver nya nyari alamat.tolong di perbaiki,Aplikasi,
"Hei deploper Go-Jek knp kalian tidak merespon keluh kesah mereka yg percaya sama aplikasi yg kalian buat dan dipergunakan mereka.jawab keluhan meereka,padahal saya mau download aplikasinya lagi,liat begini,ga akan saya download",Layanan Pelanggan,
Kok pas sy mau trasfer saldo ke bank gk ada layananan ya.,Layanan Pelanggan,
"Aplikasi Tolol Gabisa Ke buka, Server padat Terus",Aplikasi,
"Saat menambahkan metode pembayaran gopay di google playstore gagal ga ada verifikasi,dan ada tulisan Gojek telah berhenti",Aplikasi,
"Kecewaaaa!!!!!! Uang hilang dan sampe sekarang dana gak di balikin! Emng menurut mereka 200rbu itu gak seberapa, tapi bagi saya itu sangat² berharga. Janjinya sminggu masuk saldo otomatis, minggu ke 2 dan seterusnya masih juga belum masuk!!! Tolong dong tanggung jawabnya! Pihak gopay bertanggung jawablah anda dalam menangani masalah² keuangan!!",Transaksi,
Bad service.. mau pesen Gofood error' terus tlp ke call center coba berkala padahal udah 30menit.. 👎👎👎👎👎👎👎👎👎👎👎,Aplikasi,
Tolong buat app gojek tindak lanjuti para driver nya.. karena ada nya gopay memang bagus banyak driver yg maksa suruh isi gopay d driver. Sehingga kami sebagai cuztumer jdi mrasa gak nyaman. Apa lagi kayak mau2 kaga2 bawa cuztumer karena gak mau isi gopay d driver. Saya pribadi jadi gak nyaman naik gojek karena sikap driver yg maksa kalo gak kpepet waktu saya cancell depan driver nya ! Trimakasih.,Layanan Pelanggan,
Parah nih paylaternya biaya bulanan naik 100% Mau bunuh orang nih Dikira gampang cari uang,Layanan Pelanggan,
"Buat gofood, fitur texting ke driver ga berfungsi. Cuma ceklis sati terus. Pdahal koneksi lancar dan pesanan juga jalan. Tapi ga bsa kirim texting ke si drivernya. Hal gini bsa bkin miskom antara pembeli dngan driver",Aplikasi,
Kenapa ngga bisa dipasang foto profil kita pribadi,Layanan Pelanggan,
"Driver nya banyak yg gak sesuai, di profil foto nya tua, sekali datang jemput anak muda, gak ada scen wajah makanya banyak yang beda driver nya.",Layanan Pelanggan,
Kenapa tiba2 saldo gopay saya 0 dan akun saya menjadi akun baru? Tolong jawab,Akun,
"Mengapa gopay plus saya lagi di proses terus, kok gak ke upgred Tolong dong lagi penting ini",Akun,
Setelah diperbarui g bisa dipake sama sekali. Gmn yak,Aplikasi,
"Selamat siang kpd yg terhormat aplikasi GOJEK, saya mau menanyakan kenapa aplikasi GOJEK saya bisa hilang tiba"" ,terus di email saya ada pemberitahuan pembelian pulsa dengan no Indosat yang saya tidak kenal, memakai GO PULSA seharga 50rb,saya minta tanggapan dari pihal GOJEK",Akun,
ada apa dengan aplikasi ini???? verifikasi gagal. map error. chat ngadat. bikin salah paham konsumen sm driver. tolong perbaiki. kami sdh terlalu dimanjakan dan jadi adiktip sm gojek.... 😭😭😭,Aplikasi,
Mau nanya sering banget kalo mau order gofood pasti stok makanan di restorannya sering abis dari aplikasi gofoodnya Itu emang abis dari restoran nya apa aplikasi gofood nya dibatesin sama restorannya setiap kita mau pesen?,Layanan Pelanggan,
